,SMILES,PCE
22,CC1=CC(CCC(CC)CCCCC)=C(C2=CC=C(C3=C(CCC(CCCCC)CC)C=C(C4=CC=C(C5=C(N=C(C6=CC=C(OCCC(CCCCC)CC)C=C6)C(C7=CC=C(OCCC(CC)CCCCC)C=C7)=N8)C8=C(C9=CC=C(C)S9)C=C5)S4)S3)S2)S1,0.56
23,CC1=C(CCC(C)CCCC(C)C)C=C(C2=C(C3=C4C5=CC=CC4=CC=C3)C5=C(C6=CC(CCC(C)CCCC(C)C)=C(C7=CC8=C(C=C(C)S8)S7)S6)S2(=O)=O)S1,3.79
24,CC(S1)=CC(CCCCCC)=C1C(C2=NSN=C23)=CC=C3C(S4)=C(CCCCCC)C=C4C(S5)=CC(C5=C6C7=CC=C(CCCCCCCCC)S7)=C(C8=CC=C(CCCCCCCCC)S8)C9=C6C=CS9,2.42
25,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCCCCCC)CCCCCC)S3)=C(C=C(C4=CC=C(C5=CC(Cl)=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C57)S4)S8)C8=C2C9=CC=C(CC(CCCCCCCC)CCCCCC)S9,5.46
26,CC1=CC=C(C(C2(CCCCCCCCCC)CCCCCCCCCC)=C1)C3=C2C=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C)S7)C8=NC(C9=CC=CC=C9)C(C%10=CC=CC=C%10)N=C86)S5)C=C4C%11(CCCCCCCCCC)CCCCCCCCCC)C%11=C3,3.04
27,CC1=CC2=C(C(C=C(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6SC(C7=CC=C(C)C8=C7N=C(C9=C%10C=CC=C9)C(C%11=CC=CC=C%11%10)=N8)=C5)C6=C%12)=C%12C2(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)S1,6.24
28,[C]C1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)S3)=C4C(SC(C5=C6C(C(F)=C(C(OCC(CCCC)CC)=O)S6)=C([C])S5)=C4)=C2C7=CC=C(CC(CCCC)CC)S7,12.25
29,CC1=CC([Si](CC(CCCC)CC)(CC(CC)CCCC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1,5.1
30,CC1=CC2=CC=C(C(C=C3)=C2S1)C4=C3C=C(S4)C5=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C6=CC=C(C7=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C)S7)C8=NSN=C68)S5,3.8
31,CC1=CC=C(C2=CC=C(C3=CC=C(C4=CC(C(CCCCCCCC)(CCCCCCCC)C5=C6C=CC(C)=C5)=C6C=C4)S3)C7=C2N=C(C8=CC=CC=C8)C(C9=CC=CC=C9)=N7)S1,5.5
32,CC(S1)=CC2=C1C(C3=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S3)=C(C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C=C(C7=CC(CCCCCC)=C(C)S7)C8=NSN=C86)C9=NSN=C59)S4)S%10)C%10=C2C%11=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S%11,6.0
33,CC(S1)=CC=C1C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(CC(CC)CCCC)S6)=C(C7=CC=C(CC(CC)CCCC)S7)C8=C5C=C(C)S8)C9=C2N=C(C%10=CC=C(OC)C=C%10)C(C%11=CC=C(OC)C=C%11)=N9,6.31
34,CC1=C(/C=C/C2=CC=CS2)C=C(S1)C(S3)=CC4=C3C(OCC(CCCC)CC)=C(C=C(C)S5)C5=C4OCC(CCCC)CC,3.44
35,CC1=CC(C(CCCCCCCCCCCC)=C(CCCCCCCCCCCC)C2=C3C=C4C(C(SC(C5=CC=C(C)C6=NSN=C65)=C7)=C7C(CCCCCCCCCCCC)=C4CCCCCCCCCCCC)=C2)=C3S1,2.7
36,O=C1N(CC(CCCCCC)CCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC=C(C)S5)S4)N(CC(CCCCCCCC)CCCCCC)C3=O,4.7
37,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=CC(/C=C/C4=CC=C(C5=CC=C(C6=C7C(C(N6CC(CC)CCCC)=O)=C(C8=CC=CS8)N(CC(CC)CCCC)C7=O)S5)S4)=C(C)S3)S9)C9=C2OCC(CCCC)CC)S1,4.89
38,CC(S1)=CC2=C1C(C3=CC=C(OCC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(C(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(OCC(CCCC)CC)S7,8.68
39,CC(S1)=CC=C1C2=CC=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(CCCCCCCCCCCC)S6)=C(C7=CC=C(CCCCCCCCCCCC)S7)C8=C5C=C(C)S8)C9=C2N=C(C%10=CC=CC=C%10)C(C%11=CC=CC=C%11)=N9,2.9
40,CC1=CC2=C(C(SC(C3=CC=C(C)C4=NSN=C43)=C5)=C5[Ge]2(CCCCCCCC)CCCCCCCC)S1,1.5
41,O=C1C(C2=C(C3=CC=C(C)S3)N1CC(CCCCCCCC)CCCCCC)=C(C4=CC=C(C5=CC=C(C6=CC=C(S6)C7=C8C(C(N7CC(CCCCCCCC)CCCCCC)=O)=C(C9=CC=C(C%10=CC=C(C)S%10)S9)N(CC(CCCCCC)CCCCCCCC)C8=O)C=C5)S4)N(CC(CCCCCC)CCCCCCCC)C2=O,8.0
