SMILES,PCE
CC1=CC=C(C2=C(CCCCCC)N=C(C3=NC(CCCCCC)=C(C4=CC=C(C5=CC6=C(C(C=CC(C)=C7)=C7N6C(CCCCCCCC)CCCCCCCC)C=C5)S4)S3)S2)S1,0.3
CC1=CC2=C(C(SC(C3=CC(C(CCCCCC)(CCCCCC)C4=C5C=CC(N(C6=CC=C(C(C=CC(C)=C7)=C7C8(CCCCCC)CCCCCC)C8=C6)C9=CC=C(/C=C\C%10=CC=C(/C(C#N)=C(C#N)\C#N)S%10)C=C9)=C4)=C5C=C3)=C%11)=C%11C2(CC(CC)CCCC)CC(CC)CCCC)S1,0.31
CC1=CC(SCCCCCC)=C(C)S1,0.34
CC1=CC2=C(C(SC(C3=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C4=CN=C(C5=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C)S5)C6=NSN=C64)S3)=C7)=C7C8=C2SC(C(CCCCCCCC)CCCCCCCC)=C8)S1,0.35
CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(OCCO4)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC,0.36
FC1=C(COOCC(CCCC)CC)SC2=C(C)SC(C3=CC(C4=C5SC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C4)=C(S3)C6=C5C=C(C7=C(C8=C9SC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C8)C=C(C)S7)C9=C6)=C21,0.37
CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NC(CCCCCCCC)=C(CCCCCCCC)N=C75)S4)=C2)=C3C=C1,0.37
C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=CC=C(C)S5)=C3)=C4C=C1,0.4
CC1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C)=C3)=C4C=C1,0.4
CC(S1)=CC=C1C(C2=NC(C)(C)N=C23)=CC=C3C(S4)=CC=C4C5=CC=C(C6=CC=C(C)C=C6C7(CC(CC)CCCC)CC(CC)CCCC)C7=C5,0.42
