,SMILES,PCE
13,CCCCCCCCC1=C(C2=CC=C(/C=C3/SC(=S)N(CCCCCC)C3=O)S2)SC(C2=CC3=C(S2)C2=C(S3)C(C3=CC=C(CCC(CCCCCCCC)CCCCCCCC)S3)=C3C4=C(C=C(C5=CC(CCCCCCCC)=C(C6=CC=C(/C=C7/SC(=S)N(CCCCCC)C7=O)S6)S5)S4)SC3=C2C2=CC=C(CCC(CCCCCCCC)CCCCCCCC)S2)=C1,12.84
14,CCCCC(CC)COC(=O)/C(C#N)=C/C1=CC(C)=C(C2=CC=C(C3=C(CC(CC)CCCC)C=C(C4=CC5=C(C6=CC=C(CC(CC)CCCC)S6)C6=C(C=C(C7=CC(CC(CC)CCCC)=C(C8=CC=C(C9=C(CC(CC)CCCC)C=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S9)S8)S7)S6)C(C6=CC=C(CC(CC)CCCC)S6)=C5S4)S3)S2)S1,12.72
15,CCCCCCCCC1=C(C(CC)CCCC)SC(C2=C3C=C(C4=C(CC(C)C)C=C(C5=NC6=C(N=C(C7=CC(CC(CC)CCCC)=C(/C=C8\SC(=S)N(CCCC)C8=O)S7)S6)S5)S4)SC3=C(C3=CC(CCCCCCCC)=C(C(CC)CCCC)S3)C3=C2SC(C2=C(CC(CC)CCCC)C=C(C4=NC5=C(N=C(C6=CC(CC(CC)CCCCC)=C(/C=C7\SC(=S)N(CCC)C7=O)S6)S5)S4)S2)=C3)=C1,12.7
16,CCCCC(CC)CSC1=C(F)C=C(C2=C3SC4=C(SC(C5=CC(C(CC)CCCC)=C(C6=CC(C(CC)CCCC)=C(C7=CC=C(/C=C8\SC(=S)N(C(CC)CCCC)C8=O)S7)S6)S5)=C4)C3=C(C3=CC(F)=C(SCC(CC)CCCC)S3)C3=C2C=C(C2=CC(C(CC)CCCC)=C(C4=CC(C(CC)CCCC)=C(C5=CC=C(/C=C6\SC(=S)N(C(CC)CCCC)C6=O)S5)S4)S2)O3)S1,12.53
17,CCCCCCC1=C(CCCCCC)SC(C2=C3C=C(C4=C(CC(C)C)C=C(C5=NC6=C(N=C(C7=CC(CC(CC)CCCC)=C(/C=C8\SC(=S)N(CCCC)C8=O)S7)S6)S5)S4)SC3=C(C3=CC(CCCCCC)=C(CCCCCC)S3)C3=C2SC(C2=C(CC(CC)CCCC)C=C(C4=NC5=C(N=C(C6=CC(CC(CC)CCCCC)=C(/C=C7\SC(=S)N(CCC)C7=O)S6)S5)S4)S2)=C3)=C1,12.4
18,CCCCC(CC)CNC1=C(Cl)C=C(C2=C3SC(C4=C(C(CC)CCCC)C5=C(C=C(C6=C(C(CC)CCCC)C=C(/C=C7\OC(=S)N(CC(CC)CCCC)C7=O)S6)S5)S4)=CC3=C(C3=CC(Cl)=C(SCC(CC)CCCC)S3)C3=C2C=C(C2=C(C(CC)CCCC)C4=C(C=C(C5=C(C(CC)CCCC)C=C(/C=C6\OC(=S)C(CC(CC)CCCC)C6=O)S5)S4)S2)S3)S1,12.4
19,CCCCCCC1=C(CC(CC)CCC)SC(C2=C3C=C(C4=C(CCCCCC)C5=C(C=C(C6=C(CCCCCC)C=C(/C=C7/SC(=S)NC7=O)S6)S5)S4)SC3=C(C3=CC(CCCCCC)=C(CC(CC)CCC)S3)C3=C2SC(C2=C(CCCCCC)C4=C(C=C(C5=C(CCCCCC)C=C(/C=C6/SC(=S)N(CCCCCC)C6=O)S5)S4)S2)=C3)=C1.O,12.3
20,CCCCC(CC)CSC1=C(Cl)C=C(C2=C3SC4=C(SC(C5=CC(CC(CC)CCCC)=C(C6=CC=C(/C=C7/SC(=S)N(CC(CC)CCCC)C7=O)S6)S5)=C4)C3=C(C3=CC(Cl)=C(SCC(CC)CCCC)S3)C3=C2C2=C(C=C(C4=CC(C(CC)CCCC)=C(C5=CC=C(/C=C6/SC(=S)N(C(CC)CCCC)C6=O)S5)S4)S2)S3)S1,12.02
21,CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC4=C(C5=CC(Cl)=C(CC(CC)CCCC)S5)C5=C(C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S8)C8=NN(CC(CC)CCCC)N=C87)S6)S5)C(C5=CC(Cl)=C(CC(CC)CCCC)S5)=C4S3)S1)=C(F)C(F)=C2C1=CC=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S1,12
22,CCCCCCNC(=O)/C(S)=C\C1CC=C(C2=C(CCCCCC)C=C(C3=C(CCCCCC)C=C(C4=CC5=C(CC6=CC(F)=C(C(CC)CCCC)C(F)=C6)C6=C(C=C(C7=CC(CCCCCC)=C(C8=CC(CCCCCC)=C(C9=CC=C(/C=C%10/SC(=S)N(CCCCCC)C%10=O)S9)S8)S7)S6)C(C6=CC(F)=C(C(C)CCCC)C(F)=C6)=C5S4)S3)S2)S1,11.95
