SMILES,PCE
CCCCCCOC1=CC=C(C#CC2=CC=C(C#CC3=CC=C(C4=CC=C(C5=CC=C(C#CC6=CC=C(C#CC7=CC=C(OCCCCCC)C(OCCCCCC)=C7)C=C6)S5)C8=NSN=C84)S3)C=C2)C=C1OCCCCCC,0.14
C/C(/C=C/C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)CCCC2(C)C,0.15
CCCCCCCCOC1=C2C(C=CS2)=C(OCCCCCCCC)C3=C1C=C(S3)C4=CC=C5C6=CC=C(C7=CC8=C(C(OCCCCCCCC)=C(C=CS9)C9=C8OCCCCCCCC)S7)C=C6C%10=NSN=C%10C5=C4,0.15
O=C(C1=C(C2=CC=C(S2)C3=CC=CS3)SC(C4=CC=C(C5=CC=CS5)S4)=C16)N(CC(CC)CCCC)C6=O,0.15
CCCCCCCCC(CCCCCCCC)N1C2=C(C=C(C3=C(CCCCCC)C=C(C4=CC=C(C5=CC=C(/C=C(C(O)=O)\C#N)S5)S4)S3)C=C2)C6=C1C=CC(C7=C(CCCCCC)C=C(C8=CC=C(C9=CC=C(/C=C(C(O)=O)\C#N)S9)S8)S7)=C6,0.16
C1(/C=C\C2=NC(C3C(C=CC=C4)=C4C5N3)C6=C2C=CC=C6)=C7C(C=CC=C7)=C(C8=NC(/C=C\5)C9=C8C=CC=C9)N1,0.16
O=C(C1=C(C2=CC=C(S2)C3=CC=CC=N3)SC(C4=CC=C(S4)C5=CC=CC=N5)=C16)N(CC(CC)CCCC)C6=O,0.16
C1(C2=CC=C(C3=CC=C(C4=CC=CS4)S3)S2)=C(C5=CC=C(C6=CC=CS6)S5)SC(C7=CC=C(C8=CC=CS8)S7)=C1C9=CC=C(C%10=CC=C(C%11=CC=CS%11)S%10)S9,0.16
CCCCCCC(S1)=CC=C1C2=C(C3=CC=C(CCCCCC)S3)SC(C(S4)=CC=C4C5=CC(C6=CC=C(C7=CC(C8=CC=C(CCCCCC)S8)=C(C9=CC=C(CCCCCC)S9)S7)S6)=CC(C%10=CC=C(C%11=CC(C%12=CC=C(CCCCCC)S%12)=C(C%13=CC=C(CCCCCC)S%13)S%11)S%10)=C5)=C2,0.17
C1(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=CC=C6)C=C5)C=C4)C=C3)C=C2)=CC=CC=C1,0.18
CCCCCCCCC1=C(/C=C/C2=CC=CC=C2)SC(/C=C/C3=C(CCCCCCCC)C(CCCCCCCC)=C(C=C)S3)=C1CCCCCCCC,0.18
CC12C3(C)SC(C4=CC=C(/C=C/C5=CC=C(N(C6=CC=C(/C=C/C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C6)C%10=CC=C(/C=C/C%11=CC=C(N(C%12=CC=CC=C%12)C%13=CC=CC=C%13)C=C%11)C=C%10)C=C5)C=C4)=CC3=C(C(F)(F)C(F)(F)C%14(F)F)C%14=C1C=C(C%15=CC=C(/C=C/C%16=CC=C(N(C%17=CC=C(/C=C/C%18=CC=C(N(C%19=CC=CC=C%19)C%20=CC=CC=C%20)C=C%18)C=C%17)C%21=CC=C(/C=C/C%22=CC=C(N(C%23=CC=CC=C%23)C%24=CC=CC=C%24)C=C%22)C=C%21)C=C%16)C=C%15)S2,0.18
O=C(N(CC(CCCCCC)CCCC)C1=CC(C2=CC=CS2)=CC=C1/3)C3=C/C=C4C(N(CC(CCCCCC)CCCC)C5=C\4C=CC(C6=CC=CS6)=C5)=O,0.18
C1(C2=CC=C(C3=CC=CS3)S2)=C(C4=CC=CS4)SC(C5=CC=CS5)=C1C6=CC=C(C7=CC=CS7)S6,0.18
O=C1C(C2=NC3=CC=CC=C3S2)=CC4=C(O1)C=C(N(CC)CC)C=C4,0.19
[O-]C1=C(C2=CC=C(N(CC)CC)C=C2O)C(C1C3C(O)=CC(N(CC)CC)C=C3)=O,0.2
O=C1C(C2=C(C3=CC=C(C4=CC=CC=C4)S3)N1CC(CC)CCCC)=C(C5=CC=C(C6=CC=CC=C6)S5)N(CC(CC)CCCC)C2=O,0.2
CCCCCCC1=C(SC=C1)C2=CC=C(S2)C3=NC=C(C4=CC=C(C5=C(CCCCCC)C=CS5)S4)C6=NSN=C36,0.2
CCCCCCC1=CSC(C2=CC=C(C3=CN=C(C4=CC=C(C5=CC(CCCCCC)=CS5)S4)C6=NSN=C36)S2)=C1,0.2
CCCCCCC(S1)=CC=C1C2=C(C3=CC=C(CCCCCC)S3)SC(C(S4)=CC=C4C(S5)=CC=C5C6=CC(C7=CC=C(C8=CC=C(C9=CC(C%10=CC=C(CCCCCC)S%10)=C(C%11=CC=C(CCCCCC)S%11)C9)S8)S7)=CC(C%12=CC=C(C%13=CC=C(C%14=CC(C%15=CC=C(CCCCCC)S%15)=C(C%16=CC=C(CCCCCC)S%16)C%14)S%13)S%12)=C6)=C2,0.21
C1(C2=CC=C(C3=CC=C(C4=CC=C(N5C(C=CC(C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)=C9)=C9C%10=C5C=CC(C%11=CC=C(N(C%12=CC=CC=C%12)C%13=CC=CC=C%13)C=C%11)=C%10)S4)S3)S2)=CC=C(N%14C(C=CC(C%15=CC=C(N(C%16=CC=CC=C%16)C%17=CC=CC=C%17)C=C%15)=C%18)=C%18C%19=C%14C=CC(C%20=CC=C(N(C%21=CC=CC=C%21)C%22=CC=CC=C%22)C=C%20)=C%19)S1,0.22
C1(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(N6C(C=CC(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)=C%10)=C%10C%11=C6C=CC(C%12=CC=C(N(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=C%12)=C%11)S5)S4)S3)S2)=CC=C(N%15C(C=CC(C%16=CC=C(N(C%17=CC=CC=C%17)C%18=CC=CC=C%18)C=C%16)=C%19)=C%19C%20=C%15C=CC(C%21=CC=C(N(C%22=CC=CC=C%22)C%23=CC=CC=C%23)C=C%21)=C%20)S1,0.22
CCCCCCCCC1(CCCCCCCC)C2=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2C5=C1C=C(C=C5)C6=CC=C(S6)C7=CC=C(C8=CC=C(C9=CC%10=C(C%11=CC=C(N(C%12=CC=CC=C%12)C%13=CC=CC=C%13)C=C%11C%10(CCCCCCCC)CCCCCCCC)C=C9)S8)C%14=NSN=C%147,0.22
C1(/C=C2S/C(C=C\2)=C\C=C(S/3)\C=CC3=C\C(S4)=CC=C4/C=C\5)=CC=C5S1,0.23
CCCCCCCCC(CCCCCCCC)N1C2=C(C=C(C3=CC=C(C4=CC=C(/C=C(C#N)/C(O)=O)S4)S3)C=C2)C5=C1C=CC(C6=CC=C(C7=CC=C(/C=C(C(O)=O)\C#N)S7)S6)=C5,0.24
CCCCC(CC)CN1C(C=C(/C=C(C#N)\C#N)S2)=C2C3=C1C=C(/C=C(C#N)\C#N)S3,0.24
C1(C2=NC3=C(C=CC=C3)N2C4=CC=CC=C4)=CC(C5=NC6=C(C=CC=C6)N5C7=CC=CC=C7)=CC(C8=NC9=C(C=CC=C9)N8C%10=CC=CC=C%10)=C1,0.25
CCCCCCC1=C(C(S2)=CC=C2C(S3)=CC=C3C4=C(CCCCCC)C=C(C5=CC=C(C6=CC=C(N7C(C=C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)C=C%11)=C%11C%12=C7C=CC(C%13=CC=C(N(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=C%13)=C%12)S6)S5)S4)SC(C%16=CC=C(C%17=CC=C(N%18C(C=C(C%19=CC=C(N(C%20=CC=CC=C%20)C%21=CC=CC=C%21)C=C%19)C=C%22)=C%22C%23=C%18C=CC(C%24=CC=C(N(C%25=CC=CC=C%25)C%26=CC=CC=C%26)C=C%24)=C%23)S%17)S%16)=C1,0.26
O=C1C2=C(SC(C)=C2CCCCCC)C3=C1C=C(C(S4)=C(C5=O)C(CCCCCC)=C4C6=CC=C(C7=C(CCCCCC)C(C8=O)=C(S7)C9=C8C=C(C(S%10)=C(C%11=O)C(CCCCCC)=C%10C%12=CC=C(C(S%13)=C(CCCCCC)C=C%13C%14=CC(CCCCCC)=C(C%15=CC=C(C(S%16)=C(CCCCCC)C=C%16C%17=CC(CCCCCC)=C(C%18=CC=C(C(S%19)=C(CCCCCC)C=C%19C%20=CC(CCCCCC)=C(C%21=CC=C(C(S%22)=C(CCCCCC)C=C%22C%23=CC(CCCCCC)=C(C%24=CC=C(C(S%25)=C(CCCCCC)C=C%25C%26=CC(CCCCCC)=C(C%27=CC=C(C)S%27)S%26)S%24)S%23)S%21)S%20)S%18)S%17)S%15)S%14)S%12)C%11=C9)S6)C5=C3,0.26
CCCCCCN1C2=C(C=C(C3=CC=C(C4=CC=C(/C=C(C#N)/C(O)=O)S4)S3)C=C2)C5=C1C=CC(C6=CC=C(C7=CC=C(/C=C(C(O)=O)\C#N)S7)S6)=C5,0.27
CCCCCCCCC(CCCCCCCC)N1C2=CC(C3=CC=CC=C3)=CC=C2C4=CC=C(C5=CC=C(C6=CC=C(C7=CC=C(C8=CC=C(C9=CC=C(C%10=CC=CC=C%10)S9)S8)C%11=NC(CCCCCC)(CCCCCC)N=C%117)S6)S5)C=C41,0.27
CC(O/1)(C)C(/C=C/C2=CC=C(C=C2)N(C3=CC=C(C(C)(C)C)C=C3)C4=CC=C(C(C)(C)C)C=C4)=C(C#N)C1=C(C#N)/C#N,0.27
O=C(N1CC(CCCC)CC)C(C2=C1C3=CC=C(C4=CC(F)=C(F)C(F)=C4)S3)=C(C5=CC=C(C6=CC(F)=C(F)C(F)=C6)S5)N(CC(CCCC)CC)C2=O,0.27
C1(C2=CC=C(C3=CC=C(N4C(C=C(C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)C=C8)=C8C9=C4C=CC(C%10=CC=C(N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C%10)=C9)S3)S2)=CC=C(C%13=CC=C(C%14=CC=C(N%15C(C=C(C%16=CC=C(N(C%17=CC=CC=C%17)C%18=CC=CC=C%18)C=C%16)C=C%19)=C%19C%20=C%15C=CC(C%21=CC=C(N(C%22=CC=CC=C%22)C%23=CC=CC=C%23)C=C%21)=C%20)S%14)S%13)C%24=NSN=C1%24,0.27
C1(N2C(C=CC(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=C6)=C6C7=C2C=CC(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=C7)=CC=C(C%11=CC=C(N%12C(C=CC(C%13=CC=C(N(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=C%13)=C%16)=C%16C%17=C%12C=CC(C%18=CC=C(N(C%19=CC=CC=C%19)C%20=CC=CC=C%20)C=C%18)=C%17)S%11)S1,0.28
